id,name_en,name_pt,desc_en,desc_pt
plus_1_action,+1 Action,+1 Ação,The Survivor has 1 extra Action they may use as they please.,O Sobrevivente tem 1 Ação extra e pode usá-la como quiser.
plus_1_damage_[action],+1 Damage: [Action],+1 de Dano: [Ação],"The Survivor gets a +1 Damage bonus with the specified equipment or type of Combat Action (Magic, Melee or Ranged).","O Sobrevivente ganha um bônus de +1 de Dano em Ações com o equipamento ou do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance)."
plus_1_roll_[action],+1 to Dice Roll: [Action],+1 no Resultado: [Ação],"The Survivor adds 1 to the result of each die they roll with Actions of the specified type (Combat, Magic, Melee, or Ranged). The maximum result is always 6. REMEMBER: A result of 1 is always a failure.","O Sobrevivente adiciona 1 ao resultado de cada dado rolado em Ações do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). O resultado máximo é sempre 6. LEMBRE-SE: um resultado igual a 1 é sempre uma falha. "
plus_1_die_[action],+1 Die: [Action],+1 Dado: [Ação],"Each of the Survivor's weapons rolls an extra die with Actions of the specified type (Combat, Magic, Melee, or Ranged). Dual weapons each gain a die, for a total of +2 dice per Dual Action of the specified type.","Cada arma do Sobrevivente rola 1 dado extra em Ações do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). Armas Duplas ganham 1 dado extra cada, totalizando +2 dados por Ação Dupla do tipo especificado. "
plus_1_free_[action]_action,+1 Free [Action] Action,+1 Ação [Ação] gratuita,"The Survivor has 1 extra free Action of the specified type (Combat, Melee, Move, Ranged, Search, etc.). This Action may only be used to perform an Action of the specified type.","O Sobrevivente ganha 1 Ação extra gratuita do tipo especificado (Combate, Encantamento, Guarda, Magia, Corpo a Corpo, Movimento, Longo Alcance ou Procurar). Essa Ação pode ser usada apenas para realizar uma Ação do tipo especificado. "
plus_1_max_range,+1 max Range,+1 no Alcance máximo,The maximum Range of Ranged weapons and Combat Spells the Survivor uses is increased by 1.,O Alcance máximo das armas de Longo Alcance e dos Feitiços de Combate do Sobrevivente aumenta em 1.
plus_1_zone_move,+1 Zone per Move,+1 Zona por Movimento ,The Survivor can move through 1 extra Zone each time they perform a Move Action. Entering a Zone containing Zombies still ends the Survivor’s Move Action.,O Sobrevivente pode se Mover por 1 Zona extra toda vez que realizar uma Ação de Movimento. Entrar em uma Zona com Zumbis ainda encerra a Ação de Movimento do Sobrevivente.
plus_2_dice_[action],+ 2 Dice: [Action],+2 Dados: [Ação],"Each of the Survivor's weapons rolls two extra dice with Actions of the specified type (Combat, Melee, or Ranged). Dual weapons each gain two dice, for a total of +4 dice per Dual Action of the specified type.","Cada arma do Sobrevivente rola 2 dados extras em Ações do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). Armas Duplas ganham 2 dados extras cada, totalizando +4 dados por Ação Dupla do tipo indicado."
plus_2_dice_roll_[action],+2 to Dice Roll: [Action],+2 no Resultado: [Ação],"The Survivor adds 2 to the result of each die they roll with Actions of the specified type (Combat, Magic, Melee, or Ranged). The maximum result is always 6. REMEMBER: A result of 1 is always a failure.","O Sobrevivente adiciona 2 ao resultado de cada dado rolado em Ações do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). O resultado máximo é sempre 6. LEMBRE-SE: um resultado igual a 1 é sempre uma falha. "
plus_3_dice_[action],+3 Dice: [Action],+3 Dados: [Ação],"Each of the Survivor's weapons rolls 3 extra dice with Actions of the specified type (Combat, Magic, Melee, or Ranged). Dual weapons each gain 3 dice, for a total of +6 dice per Dual Action of the specified type.","Cada arma do Sobrevivente rola 3 dados extra em Ações do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). Armas Duplas ganham 3 dado extra cada, totalizando +6 dados por Ação Dupla do tipo especificado. "
two_zones_move,2 Zones per Move Action,2 Zonas por Ação de Movimento,"When the Survivor spends one Action to Move, he can move one or two Zones instead of one. Entering a Zone containing Zombies ends the Survivor’s Move Action.","Quando o Sobrevivente gastar 1 Ação para se Mover, ele pode se Mover 1 ou 2 Zonas, em vez de apenas 1. Entrar em uma Zona com Zumbis ainda encerra a Ação de Movimento do Sobrevivente."
three_zones_move,3 Zones per Move Action,3 Zonas por Ação de Movimento,"When the Survivor spends one Action to Move, he can move one, two or three Zones instead of one. Entering a Zone containing Zombies ends the Survivor’s Move Action.","Quando o Sobrevivente gastar 1 Ação para se Mover, ele pode se Mover 1, 2 ou 3 Zonas, em vez de apenas 1. Entrar em uma Zona com Zumbis ainda encerra a Ação de Movimento do Sobrevivente."
ambidextrous,Ambidextrous,Ambidestro,The Survivor treats all weapons as if they had the Dual symbol.,O Sobrevivente trata todas as armas como se elas tivessem o símbolo de Dupla.
