id,name,set,body,blue1,tag_blue1,blue2,tag_blue2,yellow,orange1,tag_orange1,orange2,tag_orange2,red1,tag_red1,red2,tag_red2,red3,tag_red3,image
ann,Ann,Black Plague,dagger,bloodlust_[action],melee,,,plus_1_action,plus_1_free_[action]_action,magic,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,roll_6_plus_1_die_[action],combat,https://static.wikia.nocookie.net/zombicide/images/3/30/Ann.png
baldric,Baldric,Black Plague,sword,spellcaster,,,,plus_1_action,plus_1_free_[action]_action,magic,spellbook,,plus_1_die_[action],magic,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,https://static.wikia.nocookie.net/zombicide/images/1/1a/Baldrick.png
clovis,Clovis,Black Plague,shield,plus_1_die_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,swordmaster,,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,hit_run,,https://static.wikia.nocookie.net/zombicide/images/2/28/Clovis.png
nelly,Nelly,Black Plague,dagger,plus_1_free_[action]_action,move,,,plus_1_action,bloodlust_[action],melee,slippery,,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,hit_run,,https://static.wikia.nocookie.net/zombicide/images/a/ad/Nelly.png
samson,Samson,Black Plague,shield,iron_hide,,,,plus_1_action,plus_1_die_[action],combat,plus_1_roll_[action],melee,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,barbarian,,https://static.wikia.nocookie.net/zombicide/images/5/5b/Samson.png/
silas,Silas,Black Plague,sword,plus_1_roll_[action],ranged,,,plus_1_action,plus_1_free_[action]_action,ranged,point_blank,,plus_1_die_[action],ranged,plus_1_free_[action]_action,combat,iron_rain,,https://static.wikia.nocookie.net/zombicide/images/a/a6/Silas.png/
ariane,Ariane,Wulfsburg,crossbow,jump,,,,plus_1_action,plus_1_free_[action]_action,move,plus_1_free_[action]_action,melee,plus_1_die_[action],combat,plus_1_roll_[action],ranged,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/f/f4/Ariane.png/
karl,Karl,Wulfsburg,fireball,plus_1_die_[action],magic,,,plus_1_action,plus_1_free_[action]_action,combat,spellcaster,,plus_1_free_[action]_action,combat,plus_1_max_range,,marksman,,https://static.wikia.nocookie.net/zombicide/images/b/bd/KarlFantasy.png/
morrigan,Morrigan,Wulfsburg,dagger,reaper_[action],combat,,,plus_1_action,plus_1_free_[action]_action,melee,spellcaster,,plus_1_damage_[action],melee,plus_1_roll_[action],magic,bloodlust_[action],combat,https://static.wikia.nocookie.net/zombicide/images/3/39/Morrigan.png/
theo,Theo,Wulfsburg,sword,sprint,,,,plus_1_action,plus_1_die_[action],melee,plus_1_roll_[action],ranged,plus_1_free_[action]_action,combat,charge,,marksman,,https://static.wikia.nocookie.net/zombicide/images/5/51/Theo.png/
arnaud,Arnaud,Hero Box-1,torch,plus_1_free_[action]_action,search,,,plus_1_action,plus_1_die_[action],melee,plus_1_free_[action]_action,move,plus_1_free_[action]_action,combat,iron_hide,,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/a/af/Arnaud.png/
glynda,Glynda,Hero Box-1,hammer,tough,,,,plus_1_action,plus_1_free_[action]_action,melee,iron_hide,,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,https://static.wikia.nocookie.net/zombicide/images/c/c3/Glynda.png/
julian,Julian,Hero Box-1,dagger,hold_your_nose,,,,plus_1_action,plus_1_damage_[action],melee,hit_run,,plus_1_free_[action]_action,combat,jump,,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/0/00/JULIAN.png/
sylvia,Sylvia,Hero Box-1,axe,taunt,,,,plus_1_action,swordmaster,,reaper_[action],melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,https://static.wikia.nocookie.net/zombicide/images/6/6c/Sylvia.png/
tucker,Tucker,Hero Box-1,axe,shove,,,,plus_1_action,lucky,,spellcaster,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,free_reload,,https://static.wikia.nocookie.net/zombicide/images/c/cc/Tucker.png/
bob,Bob,Huntsman Pack,transmutation,lucky,,,,plus_1_action,plus_1_free_[action]_action,magic,hit_run,,plus_1_roll_[action],magic,rotten,,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/7/76/Bob.png/
danton,Danton,Huntsman Pack,great_sword,taunt,,,,plus_1_action,bloodlust_[action],melee,born_leader,,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,hit_run,,https://static.wikia.nocookie.net/zombicide/images/2/2c/Danton.png/
